date,FA153166000.Q,FA153166000.Q,FA163066223.Q,FA103066005.Q,FA113066003.Q,FA313066220.Q,FA763066000.Q,FA473066000.Q,FA403066005.Q,FA673066000.Q,FA613066005.Q,FA153166100.Q,FA153166400.Q,FA153166220.Q,FA153166205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2977.00,2977.00,0.00,527.00,90.00,0.00,1763.00,13.00,0.00,0.00,584.00,0.00,525.00,0.00,2452.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3521.00,3521.00,0.00,798.00,112.00,0.00,1725.00,21.00,0.00,0.00,865.00,0.00,929.00,0.00,2592.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3034.00,3034.00,0.00,786.00,121.00,0.00,1252.00,28.00,0.00,0.00,847.00,0.00,1068.00,0.00,1966.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3042.00,3042.00,0.00,572.00,64.00,0.00,1226.00,81.00,0.00,0.00,1099.00,0.00,1513.00,0.00,1529.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4573.00,4573.00,0.00,1114.00,181.00,0.00,2173.00,95.00,0.00,0.00,1010.00,0.00,1537.00,0.00,3036.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1403.00,1403.00,0.00,624.00,109.00,0.00,331.00,53.00,0.00,0.00,286.00,0.00,-57.00,0.00,1460.00
1952:Q1,2386.00,2386.00,0.00,-2650.00,3368.00,0.00,532.00,440.00,0.00,0.00,696.00,0.00,365.00,0.00,2021.00
1952:Q2,6382.00,6382.00,0.00,798.00,744.00,0.00,2956.00,28.00,0.00,0.00,1856.00,0.00,2033.00,0.00,4349.00
1952:Q3,4542.00,4542.00,0.00,1278.00,260.00,0.00,1740.00,396.00,0.00,0.00,868.00,0.00,953.00,0.00,3589.00
1952:Q4,7378.00,7378.00,0.00,-82.00,1284.00,0.00,3628.00,144.00,0.00,0.00,2404.00,0.00,3358.00,0.00,4020.00
1953:Q1,7897.00,7897.00,0.00,2121.00,-884.00,0.00,3680.00,396.00,0.00,0.00,2584.00,0.00,3552.00,0.00,4345.00
1953:Q2,3529.00,3529.00,0.00,-751.00,444.00,0.00,2128.00,152.00,0.00,0.00,1556.00,0.00,2092.00,0.00,1437.00
1953:Q3,3097.00,3097.00,0.00,741.00,-32.00,0.00,744.00,456.00,0.00,0.00,1188.00,0.00,1517.00,0.00,1580.00
1953:Q4,1845.00,1845.00,0.00,-1079.00,984.00,0.00,732.00,268.00,0.00,0.00,940.00,0.00,1039.00,0.00,806.00
1954:Q1,-739.00,-739.00,0.00,1521.00,-1236.00,0.00,-1252.00,348.00,0.00,0.00,-120.00,0.00,-665.00,0.00,-74.00
1954:Q2,1249.00,1249.00,0.00,-719.00,292.00,0.00,1612.00,-160.00,0.00,0.00,224.00,0.00,-252.00,0.00,1501.00
1954:Q3,1305.00,1305.00,0.00,801.00,-200.00,0.00,-196.00,384.00,0.00,0.00,516.00,0.00,140.00,0.00,1165.00
1954:Q4,3581.00,3581.00,0.00,-223.00,1148.00,0.00,1268.00,252.00,0.00,0.00,1136.00,0.00,1025.00,0.00,2556.00
1955:Q1,6153.00,6153.00,0.00,2045.00,-1192.00,0.00,2684.00,-44.00,0.00,0.00,2660.00,0.00,3349.00,0.00,2804.00
