date,FU476000105.Q,FU475013005.Q,FU474090005.Q,FU473013003.Q,FU472050053.Q,FU474022005.Q,FU473069153.Q,FU473061105.Q,FU473061705.Q,FU473062005.Q,FU473063005.Q,FU474023000.Q,FU473068005.Q,FU473065100.Q,FU473066000.Q,FU473064205.Q,FU473090005.Q,FU474190005.Q,FU474110005.Q,FU473139000.Q,FU473127003.Q,FU473131005.Q,FU473135003.Q,FU472150053.Q,FU473169333.Q,FU473193005.Q,FU477005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11.00,1.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,41.00,13.00,0.00,-1.00,52.00,-19.00,63.00,0.00,63.00,0.00,0.00,0.00,8.00,9.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15.00,1.00,102.00,0.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00,89.00,0.00,68.00,21.00,0.00,-2.00,97.00,9.00,81.00,0.00,81.00,0.00,0.00,0.00,7.00,9.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22.00,3.00,113.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,105.00,0.00,77.00,28.00,0.00,-2.00,107.00,2.00,93.00,0.00,93.00,0.00,0.00,0.00,12.00,13.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,29.00,4.00,129.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,124.00,0.00,43.00,81.00,0.00,-2.00,121.00,7.00,98.00,0.00,98.00,0.00,0.00,0.00,16.00,17.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39.00,6.00,156.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,152.00,0.00,57.00,95.00,0.00,-4.00,145.00,-25.00,149.00,0.00,149.00,0.00,0.00,0.00,21.00,23.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,45.00,6.00,61.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,56.00,0.00,3.00,53.00,0.00,-5.00,51.00,-199.00,225.00,0.00,225.00,0.00,0.00,0.00,25.00,29.00
1952:Q1,12.00,1.00,24.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,23.00,0.00,-48.00,71.00,0.00,-1.00,20.00,-6.00,20.00,0.00,20.00,0.00,0.00,0.00,6.00,7.00
1952:Q2,13.00,1.00,87.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,88.00,0.00,47.00,41.00,0.00,-2.00,84.00,-21.00,98.00,0.00,98.00,0.00,0.00,0.00,7.00,9.00
1952:Q3,14.00,1.00,71.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,72.00,0.00,-44.00,116.00,0.00,-2.00,68.00,-5.00,65.00,0.00,65.00,0.00,0.00,0.00,8.00,10.00
1952:Q4,14.00,1.00,54.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,54.00,0.00,30.00,24.00,0.00,-2.00,50.00,-50.00,93.00,0.00,93.00,0.00,0.00,0.00,7.00,9.00
1953:Q1,16.00,3.00,66.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,66.00,0.00,5.00,61.00,0.00,-1.00,59.00,17.00,36.00,0.00,36.00,0.00,0.00,0.00,6.00,6.00
1953:Q2,18.00,3.00,102.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,104.00,0.00,33.00,71.00,0.00,-3.00,97.00,-47.00,136.00,0.00,136.00,0.00,0.00,0.00,8.00,10.00
1953:Q3,20.00,3.00,88.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,89.00,0.00,-42.00,131.00,0.00,-2.00,81.00,0.00,72.00,0.00,72.00,0.00,0.00,0.00,9.00,10.00
1953:Q4,24.00,3.00,53.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,52.00,0.00,-3.00,55.00,0.00,-2.00,46.00,-60.00,93.00,0.00,93.00,0.00,0.00,0.00,13.00,14.00
1954:Q1,24.00,3.00,28.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,27.00,0.00,-22.00,49.00,0.00,-1.00,24.00,-29.00,36.00,0.00,36.00,0.00,0.00,0.00,17.00,17.00
1954:Q2,24.00,3.00,87.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,88.00,0.00,95.00,-7.00,0.00,-3.00,84.00,-38.00,106.00,0.00,106.00,0.00,0.00,0.00,16.00,18.00
1954:Q3,24.00,3.00,74.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,74.00,0.00,-40.00,114.00,0.00,-2.00,70.00,-42.00,96.00,0.00,96.00,0.00,0.00,0.00,16.00,18.00
1954:Q4,26.00,3.00,40.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,41.00,0.00,-9.00,50.00,0.00,-3.00,37.00,-92.00,111.00,0.00,111.00,0.00,0.00,0.00,18.00,21.00
1955:Q1,26.00,3.00,53.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,51.00,0.00,98.00,-47.00,0.00,-1.00,43.00,1.00,29.00,0.00,29.00,0.00,0.00,0.00,13.00,13.00
1955:Q2,28.00,4.00,125.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,124.00,0.00,38.00,86.00,0.00,-3.00,117.00,-30.00,132.00,0.00,132.00,0.00,0.00,0.00,15.00,17.00
1955:Q3,31.00,4.00,118.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,117.00,0.00,-17.00,134.00,0.00,-3.00,108.00,-28.00,120.00,0.00,120.00,0.00,0.00,0.00,16.00,17.00
1955:Q4,33.00,4.00,71.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,70.00,0.00,-2.00,72.00,0.00,-3.00,61.00,-85.00,128.00,0.00,128.00,0.00,0.00,0.00,18.00,19.00
1956:Q1,33.00,3.00,57.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,56.00,0.00,-2.00,58.00,0.00,-3.00,49.00,-69.00,98.00,0.00,98.00,0.00,0.00,0.00,20.00,22.00
1956:Q2,34.00,3.00,126.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,125.00,0.00,127.00,-2.00,0.00,-3.00,117.00,-16.00,113.00,0.00,113.00,0.00,0.00,0.00,20.00,22.00
1956:Q3,37.00,4.00,119.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,117.00,0.00,-53.00,170.00,0.00,-2.00,109.00,2.00,85.00,0.00,85.00,0.00,0.00,0.00,22.00,23.00
1956:Q4,38.00,4.00,93.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,94.00,0.00,-3.00,97.00,0.00,-4.00,84.00,-110.00,172.00,0.00,172.00,0.00,0.00,0.00,22.00,25.00
1957:Q1,39.00,4.00,67.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,66.00,0.00,85.00,-19.00,0.00,-3.00,57.00,-61.00,95.00,0.00,95.00,0.00,0.00,0.00,23.00,24.00
1957:Q2,41.00,4.00,153.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,152.00,0.00,8.00,144.00,0.00,-3.00,143.00,8.00,110.00,0.00,110.00,0.00,0.00,0.00,25.00,27.00
1957:Q3,45.00,5.00,150.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,148.00,0.00,-35.00,183.00,0.00,-2.00,138.00,25.00,85.00,0.00,85.00,0.00,0.00,0.00,28.00,28.00
1957:Q4,49.00,4.00,82.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,84.00,0.00,-59.00,143.00,0.00,-5.00,72.00,-136.00,177.00,0.00,177.00,0.00,0.00,0.00,31.00,35.00
1958:Q1,48.00,5.00,-11.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,-12.00,0.00,74.00,-86.00,0.00,-3.00,-18.00,-152.00,99.00,0.00,99.00,0.00,0.00,0.00,35.00,36.00
1958:Q2,48.00,5.00,106.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,105.00,0.00,-35.00,140.00,0.00,-3.00,98.00,-47.00,112.00,0.00,112.00,0.00,0.00,0.00,33.00,35.00
1958:Q3,48.00,4.00,90.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,88.00,0.00,34.00,54.00,0.00,-2.00,81.00,-39.00,87.00,0.00,87.00,0.00,0.00,0.00,33.00,34.00
1958:Q4,49.00,5.00,84.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,86.00,0.00,-46.00,132.00,0.00,-5.00,77.00,-146.00,190.00,0.00,190.00,0.00,0.00,0.00,33.00,37.00
1959:Q1,48.00,5.00,66.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,66.00,0.00,104.00,-38.00,0.00,-3.00,52.00,-91.00,116.00,9.00,107.00,0.00,0.00,0.00,27.00,29.00
1959:Q2,48.00,5.00,206.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,208.00,0.00,7.00,201.00,0.00,-4.00,192.00,35.00,131.00,1.00,130.00,0.00,0.00,0.00,26.00,29.00
1959:Q3,49.00,5.00,226.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,227.00,0.00,50.00,177.00,0.00,-3.00,211.00,80.00,104.00,0.00,104.00,0.00,0.00,0.00,27.00,28.00
1959:Q4,53.00,5.00,161.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,163.00,0.00,-28.00,191.00,0.00,-5.00,146.00,-104.00,221.00,0.00,221.00,0.00,0.00,0.00,29.00,32.00
1960:Q1,51.00,5.00,114.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,115.00,0.00,178.00,-63.00,0.00,-3.00,102.00,-38.00,107.00,1.00,106.00,0.00,0.00,0.00,33.00,34.00
1960:Q2,50.00,6.00,257.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,259.00,0.00,-24.00,283.00,0.00,-4.00,245.00,90.00,124.00,0.00,124.00,0.00,0.00,0.00,31.00,33.00
1960:Q3,45.00,5.00,181.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,181.00,0.00,-31.00,212.00,0.00,-2.00,167.00,60.00,81.00,0.00,81.00,0.00,0.00,0.00,26.00,26.00
1960:Q4,43.00,5.00,118.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,120.00,0.00,-22.00,142.00,0.00,-6.00,107.00,-143.00,228.00,1.00,227.00,0.00,0.00,0.00,22.00,26.00
1961:Q1,44.00,5.00,-7.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,-8.00,0.00,140.00,-148.00,0.00,-3.00,-18.00,-169.00,125.00,0.00,125.00,0.00,0.00,0.00,26.00,27.00
1961:Q2,44.00,6.00,183.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,182.00,0.00,-67.00,249.00,0.00,-4.00,172.00,2.00,145.00,0.00,145.00,0.00,0.00,0.00,25.00,27.00
1961:Q3,42.00,6.00,124.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,122.00,0.00,89.00,33.00,0.00,-3.00,112.00,-24.00,113.00,0.00,113.00,0.00,0.00,0.00,23.00,24.00
