date,FA366010115.Q,FA366210005.Q,FA366240005.Q,FA366231005.Q,FA316231061.Q,FA366601005.Q,FA366150105.Q,FA366403105.Q,FA366402105.Q,FA366900015.Q,FA366901005.Q,FA366404005.Q,FA366403005.Q,FA366130005.Q,FA366402005.Q,FA366006005.Q,FA366300005.Q,FA313154015.Q,FA365440095.Q,FA366000105.Q,FA365090005.Q,FA365019005.Q,FA365420005.Q,FA365000005.Q,FA364090005.Q,FA313011005.Q,FA363020005.Q,FA363030005.Q,FA213034003.Q,FA212051003.Q,FA364022005.Q,FA213069103.Q,FA213061105.Q,FA363061705.Q,FA213062003.Q,FA363063005.Q,FA364023005.Q,FA363065005.Q,FA313066220.Q,FA313069005.Q,FA363064105.Q,FA213064203.Q,FA363070005.Q,FA363078005.Q,FA363090005.Q,FA364190005.Q,FA313111303.Q,FA713014003.Q,FA313112003.Q,FA364122005.Q,FA313161105.Q,FA213162005.Q,FA364123005.Q,FA313165403.Q,FA213169203.Q,FA363170005.Q,FA313140003.Q,FA363190005.Q,FA367005005.Q,FA374090005.Q,FA374190005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,51917.00,17210.00,16832.00,9104.00,0.00,6618.00,388.00,1399.00,366.00,59297.00,38490.00,10122.00,3144.00,5813.00,1728.00,-7380.00,11523.00,1320.00,-878.00,3701.00,8969.00,4708.00,70.00,4191.00,-15316.00,-89.00,-21856.00,195.00,0.00,0.00,-757.00,0.00,-352.00,-100.00,-305.00,0.00,1988.00,-321.00,0.00,2309.00,0.00,0.00,-677.00,5813.00,67.00,-19507.00,0.00,0.00,126.00,-23010.00,-22876.00,69.00,-21.00,0.00,-21.00,-1867.00,1165.00,4100.00,-5268.00,-14943.00,-19134.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,57000.00,19790.00,18106.00,11268.00,0.00,5564.00,439.00,1493.00,340.00,54549.00,34346.00,10428.00,2916.00,6124.00,735.00,2451.00,11465.00,1116.00,-996.00,13796.00,24156.00,5683.00,90.00,18383.00,16511.00,1401.00,181.00,150.00,0.00,0.00,675.00,0.00,711.00,3.00,-39.00,0.00,3996.00,-68.00,0.00,4064.00,0.00,0.00,111.00,9594.00,403.00,-1872.00,0.00,0.00,-28.00,-4797.00,-6371.00,1611.00,19.00,0.00,19.00,-798.00,605.00,3127.00,-10360.00,15781.00,-2602.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
