date,FL154090005.Q,FL153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,FL154022005.Q,FL163069103.Q,FL153061105.Q,FL153061705.Q,FL153062005.Q,FL153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL593073005.Q,FL153050025.Q,FL152090205.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170003.Q,FL543077073.Q
1945:Q4,643628.93,0.00,55366.00,50230.00,0.00,78843.00,0.00,66517.00,61.00,3869.00,8396.00,12883.00,694.00,12189.00,0.00,144855.00,1245.00,39560.00,57011.00,44988.00,12023.00,197384.93,6251.00,30584.00,0.00,29442.00,18706.00,6800.00,290.00,3330.00,316.00,504.00,638.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,697065.00,0.00,60564.00,56568.00,0.00,76574.00,85.00,65127.00,93.00,3817.00,7452.00,14444.00,733.00,13711.00,0.00,138515.00,1298.00,43360.00,64505.00,51242.00,13263.00,234183.00,7054.00,37441.00,0.00,36067.00,23100.00,9777.00,174.00,2602.00,414.00,671.00,703.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,743813.00,0.00,60444.00,60047.00,0.00,76418.00,103.00,65065.00,148.00,4458.00,6644.00,15730.00,660.00,15070.00,0.00,136405.00,1413.00,46510.00,71873.00,56447.00,15426.00,267381.00,7592.00,46468.00,0.00,44913.00,28267.00,13298.00,156.00,2686.00,506.00,771.00,784.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,771455.00,0.00,58083.00,62248.00,0.00,77463.00,234.00,65817.00,95.00,4629.00,6688.00,16922.00,654.00,16268.00,0.00,135486.00,1516.00,49353.00,79319.00,61528.00,17791.00,283078.00,7987.00,55109.00,0.00,53423.00,33422.00,16332.00,161.00,2787.00,721.00,851.00,835.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,794324.00,0.00,56325.00,64842.00,0.00,77594.00,304.00,67256.00,29.00,3724.00,6281.00,17695.00,702.00,16993.00,0.00,142455.00,3071.00,52104.00,87060.00,66565.00,20495.00,284821.00,8357.00,63409.00,0.00,61621.00,37754.00,19374.00,177.00,3350.00,966.00,884.00,904.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,852050.00,0.00,58904.00,67207.00,0.00,78538.00,442.00,66500.00,121.00,5465.00,6010.00,18660.00,971.00,17689.00,0.00,164696.00,3344.00,55049.00,95244.00,72054.00,23190.00,301716.00,8692.00,76901.00,0.00,74943.00,45348.00,23947.00,319.00,4063.00,1266.00,951.00,1007.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
