date,FU793068005.Q,FU153168005.Q,FU103168005.Q,FU113168005.Q,FU793168005.Q,FU613168000.Q,FU643168005.Q,FU663168005.Q,FU733168003.Q,FU713068505.Q,FU263168005.Q,FU263168465.Q,FU263168475.Q,FU263168485.Q,FU793068005.Q,FU713068005.Q,FU763068005.Q,FU753068005.Q,FU743068005.Q,FU473068005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3545.00,-116.00,3656.00,827.00,-1155.00,494.00,0.00,-1649.00,0.00,0.00,333.00,13.00,343.00,-23.00,3545.00,99.00,3370.00,76.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3425.00,-18.00,3073.00,647.00,-447.00,264.00,0.00,-711.00,0.00,0.00,170.00,51.00,-105.00,224.00,3425.00,-96.00,3468.00,53.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2020.00,5.00,684.00,13.00,1078.00,586.00,0.00,492.00,0.00,0.00,240.00,-8.00,202.00,46.00,2020.00,139.00,1823.00,58.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1325.00,16.00,-1894.00,-132.00,971.00,499.00,0.00,472.00,0.00,0.00,-286.00,-12.00,-259.00,-15.00,-1325.00,-119.00,-1349.00,143.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5743.00,142.00,3688.00,910.00,1285.00,1182.00,0.00,103.00,0.00,0.00,-282.00,80.00,-26.00,-336.00,5743.00,-69.00,5696.00,116.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5129.00,231.00,4209.00,814.00,-278.00,-77.00,0.00,-201.00,0.00,0.00,153.00,166.00,53.00,-66.00,5129.00,2.00,4951.00,176.00,0.00,0.00
1952:Q1,-366.00,0.00,-267.00,40.00,-162.00,118.00,0.00,-280.00,0.00,0.00,23.00,-78.00,-28.00,129.00,-366.00,13.00,-473.00,94.00,0.00,0.00
1952:Q2,935.00,-17.00,-422.00,333.00,1035.00,146.00,0.00,889.00,0.00,0.00,6.00,40.00,-40.00,6.00,935.00,2.00,850.00,83.00,0.00,0.00
1952:Q3,-85.00,-67.00,461.00,27.00,-515.00,131.00,0.00,-646.00,0.00,0.00,9.00,6.00,14.00,-11.00,-85.00,29.00,-34.00,-80.00,0.00,0.00
1952:Q4,2270.00,-49.00,1024.00,-21.00,1316.00,725.00,0.00,591.00,0.00,0.00,0.00,-15.00,-22.00,37.00,2270.00,-15.00,2246.00,39.00,0.00,0.00
