date,FL574090045.Q,FL573020043.Q,FL573030043.Q,FL573034043.Q,FL572051043.Q,FL574022045.Q,FL573069143.Q,FL573061143.Q,FL573061743.Q,FL573063043.Q,FL573065043.Q,LM573064143.Q,LM573064243.Q,FL573090045.Q,FL573095405.Q,FL573074043.Q,FL573073005.Q,FL573093043.Q,FL574190043.Q
1945:Q4,19886.00,81.00,0.00,0.00,0.00,2978.00,0.00,1538.00,0.00,1440.00,0.00,0.00,0.00,16827.00,0.00,0.00,16879.00,-52.00,19902.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,21268.00,101.00,0.00,0.00,0.00,3175.00,0.00,1575.00,0.00,1600.00,22.00,0.00,0.00,17970.00,0.00,0.00,18059.00,-89.00,21285.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,22608.00,131.00,0.00,0.00,0.00,3373.00,0.00,1613.00,0.00,1760.00,42.00,0.00,0.00,19062.00,0.00,0.00,19071.00,-9.00,22629.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,23793.00,161.00,0.00,0.00,0.00,3570.00,0.00,1650.00,0.00,1920.00,62.00,0.00,0.00,20000.00,0.00,0.00,19930.00,70.00,23821.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,24913.00,204.00,0.00,0.00,0.00,3805.00,0.00,1725.00,0.00,2080.00,82.00,0.00,0.00,20822.00,0.00,0.00,20697.00,125.00,24944.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25788.00,264.00,0.00,0.00,0.00,4021.00,0.00,1759.00,0.00,2262.00,102.00,0.00,0.00,21401.00,0.00,0.00,21237.00,164.00,25830.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,30170.00,329.00,0.00,0.00,0.00,4620.00,0.00,1834.00,0.00,2786.00,120.00,0.00,0.00,25101.00,0.00,0.00,24925.00,176.00,30220.00
1952:Q1,31283.00,330.00,195.00,0.00,83.00,4812.00,0.00,1865.00,0.00,2947.00,126.00,1156.00,0.00,24581.00,0.00,139.00,24201.00,241.00,31333.00
1952:Q2,32298.00,321.00,202.00,0.00,86.00,5007.00,0.00,1862.00,0.00,3145.00,133.00,1250.00,0.00,25299.00,0.00,145.00,24902.00,252.00,32352.00
1952:Q3,33313.00,312.00,210.00,0.00,90.00,5229.00,0.00,1851.00,0.00,3378.00,141.00,1282.00,0.00,26049.00,0.00,151.00,25635.00,263.00,33363.00
1952:Q4,34387.00,310.00,218.00,0.00,93.00,5497.00,0.00,1859.00,0.00,3638.00,149.00,1474.00,0.00,26646.00,0.00,160.00,26217.00,269.00,34445.00
1953:Q1,35549.00,319.00,226.00,0.00,94.00,5775.00,0.00,1885.00,0.00,3890.00,159.00,1533.00,0.00,27443.00,0.00,167.00,27003.00,273.00,35609.00
1953:Q2,36806.00,337.00,235.00,0.00,96.00,6045.00,0.00,1925.00,0.00,4120.00,170.00,1634.00,0.00,28289.00,0.00,175.00,27841.00,273.00,36872.00
1953:Q3,38086.00,356.00,244.00,0.00,96.00,6292.00,0.00,1965.00,0.00,4327.00,181.00,1735.00,0.00,29182.00,0.00,182.00,28726.00,274.00,38159.00
1953:Q4,39303.00,366.00,253.00,0.00,97.00,6509.00,0.00,1977.00,14.00,4518.00,192.00,1914.00,0.00,29972.00,0.00,191.00,29507.00,274.00,39374.00
1954:Q1,40378.00,368.00,263.00,0.00,99.00,6730.00,0.00,1989.00,13.00,4728.00,203.00,2084.00,0.00,30631.00,0.00,199.00,30155.00,277.00,40452.00
1954:Q2,41360.00,363.00,273.00,0.00,101.00,6964.00,0.00,1983.00,13.00,4968.00,213.00,2148.00,0.00,31298.00,0.00,205.00,30813.00,280.00,41436.00
1954:Q3,42288.00,358.00,284.00,0.00,103.00,7230.00,0.00,1985.00,7.00,5238.00,224.00,2257.00,0.00,31832.00,0.00,213.00,31335.00,284.00,42368.00
1954:Q4,43202.00,357.00,295.00,0.00,106.00,7538.00,0.00,2006.00,6.00,5526.00,238.00,2523.00,0.00,32145.00,0.00,224.00,31629.00,292.00,43293.00
1955:Q1,44129.00,367.00,306.00,0.00,111.00,7834.00,0.00,2051.00,7.00,5776.00,255.00,2841.00,0.00,32415.00,0.00,237.00,31873.00,305.00,44220.00
1955:Q2,45079.00,385.00,318.00,0.00,118.00,8119.00,0.00,2129.00,9.00,5981.00,274.00,3615.00,0.00,32250.00,0.00,259.00,31672.00,319.00,45178.00
1955:Q3,46026.00,404.00,330.00,0.00,125.00,8355.00,0.00,2202.00,10.00,6143.00,296.00,4357.00,0.00,32159.00,0.00,280.00,31542.00,337.00,46140.00
1955:Q4,46947.00,415.00,343.00,0.00,132.00,8526.00,0.00,2229.00,15.00,6282.00,321.00,4868.00,0.00,32342.00,0.00,295.00,31689.00,358.00,47074.00
1956:Q1,47857.00,419.00,356.00,0.00,140.00,8723.00,0.00,2212.00,28.00,6483.00,349.00,5454.00,0.00,32416.00,0.00,311.00,31724.00,381.00,47989.00
1956:Q2,48824.00,417.00,369.00,0.00,150.00,8965.00,0.00,2171.00,28.00,6766.00,381.00,5391.00,0.00,33151.00,0.00,317.00,32423.00,411.00,48960.00
1956:Q3,49956.00,414.00,384.00,0.00,158.00,9284.00,0.00,2113.00,34.00,7137.00,415.00,5370.00,0.00,33931.00,0.00,324.00,33167.00,440.00,50098.00
1956:Q4,51331.00,415.00,399.00,0.00,166.00,9680.00,0.00,2063.00,37.00,7580.00,449.00,5652.00,0.00,34570.00,0.00,339.00,33770.00,461.00,51478.00
1957:Q1,52908.00,424.00,414.00,0.00,172.00,10077.00,0.00,2008.00,51.00,8018.00,482.00,5611.00,0.00,35728.00,0.00,348.00,34900.00,480.00,53060.00
1957:Q2,54653.00,439.00,430.00,0.00,177.00,10428.00,0.00,1953.00,56.00,8419.00,514.00,6358.00,0.00,36307.00,0.00,370.00,35448.00,489.00,54809.00
1957:Q3,56401.00,454.00,446.00,0.00,182.00,10735.00,0.00,1901.00,64.00,8770.00,547.00,6110.00,0.00,37927.00,0.00,373.00,37050.00,504.00,56561.00
1957:Q4,57972.00,466.00,463.00,0.00,186.00,11004.00,0.00,1846.00,88.00,9070.00,583.00,5991.00,0.00,39279.00,0.00,378.00,38382.00,519.00,58136.00
1958:Q1,59300.00,475.00,481.00,0.00,191.00,11281.00,0.00,1808.00,111.00,9362.00,619.00,6448.00,0.00,39805.00,0.00,393.00,38883.00,529.00,59446.00
1958:Q2,60428.00,482.00,500.00,0.00,194.00,11569.00,0.00,1824.00,87.00,9658.00,655.00,7185.00,0.00,39843.00,0.00,414.00,38895.00,534.00,60580.00
1958:Q3,61500.00,488.00,519.00,0.00,198.00,11876.00,0.00,1823.00,91.00,9962.00,695.00,8147.00,0.00,39577.00,0.00,440.00,38599.00,538.00,61675.00
1958:Q4,62673.00,496.00,539.00,0.00,204.00,12203.00,0.00,1838.00,91.00,10274.00,742.00,9249.00,0.00,39240.00,0.00,469.00,38225.00,546.00,62869.00
1959:Q1,64026.00,505.00,560.00,0.00,211.00,12409.00,0.00,1857.00,107.00,10445.00,796.00,9710.00,0.00,39835.00,0.00,484.00,38787.00,564.00,64202.00
1959:Q2,65494.00,516.00,581.00,0.00,218.00,12720.00,0.00,1892.00,134.00,10694.00,856.00,10622.00,0.00,39981.00,0.00,510.00,38889.00,582.00,65698.00
1959:Q3,67023.00,527.00,603.00,0.00,227.00,13002.00,0.00,1940.00,147.00,10915.00,921.00,10738.00,0.00,41005.00,0.00,520.00,39878.00,607.00,67258.00
1959:Q4,68485.00,535.00,626.00,0.00,235.00,13382.00,0.00,1964.00,150.00,11268.00,989.00,11620.00,0.00,41098.00,0.00,547.00,39923.00,628.00,68742.00
1960:Q1,69771.00,538.00,650.00,0.00,245.00,13651.00,0.00,1903.00,210.00,11538.00,1063.00,11302.00,0.00,42322.00,0.00,549.00,41112.00,661.00,70060.00
1960:Q2,70913.00,536.00,676.00,0.00,255.00,13877.00,0.00,1843.00,238.00,11796.00,1145.00,12094.00,0.00,42330.00,0.00,572.00,41068.00,690.00,71205.00
1960:Q3,71916.00,536.00,702.00,0.00,266.00,14162.00,0.00,1806.00,237.00,12119.00,1227.00,11682.00,0.00,43341.00,0.00,573.00,42041.00,727.00,72211.00
1960:Q4,72808.00,546.00,728.00,0.00,275.00,14579.00,0.00,1803.00,217.00,12559.00,1301.00,13236.00,0.00,42143.00,0.00,613.00,40785.00,745.00,73105.00
1961:Q1,73628.00,568.00,756.00,0.00,284.00,14683.00,0.00,1805.00,211.00,12667.00,1369.00,15266.00,0.00,40702.00,0.00,657.00,39287.00,758.00,73890.00
1961:Q2,74291.00,601.00,785.00,0.00,291.00,15001.00,0.00,1822.00,195.00,12984.00,1430.00,15677.00,0.00,40506.00,0.00,674.00,39055.00,777.00,74593.00
1961:Q3,74852.00,635.00,816.00,0.00,298.00,15218.00,0.00,1823.00,204.00,13191.00,1491.00,16528.00,0.00,39866.00,0.00,697.00,38375.00,794.00,75186.00
1961:Q4,75280.00,660.00,847.00,0.00,307.00,15551.00,0.00,1819.00,226.00,13506.00,1560.00,18285.00,0.00,38070.00,0.00,740.00,36522.00,808.00,75642.00
1962:Q1,75602.00,677.00,880.00,0.00,321.00,15769.00,0.00,1816.00,260.00,13693.00,1634.00,18293.00,32.00,37996.00,0.00,749.00,36393.00,854.00,75966.00
1962:Q2,75840.00,687.00,913.00,0.00,338.00,16127.00,0.00,1844.00,276.00,14007.00,1713.00,14276.00,86.00,41700.00,0.00,686.00,40074.00,940.00,76210.00
1962:Q3,76068.00,695.00,949.00,0.00,355.00,16285.00,0.00,1893.00,274.00,14118.00,1794.00,15401.00,140.00,40449.00,0.00,716.00,38741.00,992.00,76442.00
1962:Q4,76357.00,707.00,985.00,0.00,369.00,16684.00,0.00,1950.00,253.00,14481.00,1876.00,17508.00,172.00,38056.00,0.00,768.00,36266.00,1022.00,76731.00
1963:Q1,76705.00,721.00,1023.00,0.00,380.00,16986.00,0.00,1971.00,260.00,14755.00,1957.00,18807.00,184.00,36647.00,0.00,803.00,34800.00,1044.00,77112.00
1963:Q2,77213.00,735.00,1062.00,0.00,385.00,17331.00,0.00,1991.00,262.00,15078.00,2035.00,19959.00,177.00,35529.00,0.00,834.00,33642.00,1053.00,77613.00
1963:Q3,77807.00,752.00,1103.00,0.00,393.00,17688.00,0.00,1980.00,294.00,15414.00,2119.00,21016.00,169.00,34567.00,0.00,864.00,32635.00,1068.00,78226.00
1963:Q4,78489.00,773.00,1145.00,0.00,409.00,17946.00,0.00,2009.00,289.00,15648.00,2220.00,22136.00,176.00,33684.00,0.00,895.00,31675.00,1114.00,78926.00
1964:Q1,79245.00,802.00,1189.00,0.00,435.00,18293.00,0.00,2154.00,301.00,15838.00,2357.00,23752.00,201.00,32216.00,0.00,940.00,30087.00,1189.00,79694.00
1964:Q2,80063.00,850.00,1235.00,0.00,471.00,18601.00,0.00,1999.00,291.00,16311.00,2506.00,24909.00,241.00,31250.00,0.00,978.00,28970.00,1302.00,80540.00
1964:Q3,80996.00,857.00,1282.00,0.00,507.00,18835.00,0.00,1996.00,283.00,16556.00,2640.00,26110.00,283.00,30482.00,0.00,1014.00,28048.00,1420.00,81487.00
1964:Q4,82038.00,892.00,1331.00,0.00,537.00,19373.00,0.00,2036.00,372.00,16965.00,2778.00,26964.00,312.00,29851.00,0.00,1049.00,27290.00,1512.00,82551.00
1965:Q1,83172.00,752.00,1383.00,0.00,560.00,19798.00,0.00,2182.00,315.00,17301.00,2919.00,27962.00,331.00,29467.00,0.00,1081.00,26804.00,1582.00,83730.00
