date,FU703130005.Q,FU703131005.Q,FU763131005.Q,FU753131005.Q,FU743131005.Q,FU473131005.Q,FU703135005.Q,FU763135005.Q,FU753135005.Q,FU743135005.Q,FU473135003.Q,FU703130005.Q,FU153030005.Q,FU143030005.Q,FU103030003.Q,FU113030003.Q,FU313030003.Q,FU213030005.Q,FU793030005.Q,FU573030005.Q,FU223030045.Q,FU633030000.Q,FU403030005.Q,FU613030003.Q,FU733030003.Q,FU263030005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6535.00,6349.00,6284.00,2.00,0.00,63.00,186.00,172.00,14.00,0.00,0.00,6535.00,6338.00,0.00,0.00,0.00,16.00,179.00,-2.00,0.00,0.00,0.00,0.00,-2.00,0.00,4.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3595.00,3413.00,3334.00,-2.00,0.00,81.00,182.00,200.00,-18.00,0.00,0.00,3595.00,3479.00,0.00,0.00,0.00,-9.00,159.00,-16.00,0.00,0.00,0.00,0.00,-16.00,0.00,-18.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2543.00,2211.00,2119.00,-1.00,0.00,93.00,332.00,338.00,-6.00,0.00,0.00,2543.00,2201.00,0.00,0.00,0.00,6.00,271.00,44.00,0.00,0.00,0.00,0.00,44.00,0.00,21.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2981.00,2619.00,2519.00,2.00,0.00,98.00,362.00,341.00,21.00,0.00,0.00,2981.00,2594.00,0.00,0.00,0.00,65.00,152.00,28.00,0.00,0.00,0.00,0.00,28.00,0.00,142.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2743.00,2463.00,2312.00,2.00,0.00,149.00,280.00,262.00,18.00,0.00,0.00,2743.00,2365.00,0.00,0.00,0.00,8.00,101.00,42.00,0.00,0.00,0.00,0.00,42.00,0.00,227.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4951.00,4983.00,4756.00,2.00,0.00,225.00,-32.00,-45.00,13.00,0.00,0.00,4951.00,4970.00,0.00,0.00,0.00,88.00,152.00,29.00,0.00,0.00,0.00,0.00,29.00,0.00,-288.00
1952:Q1,1761.00,1675.00,1654.00,1.00,0.00,20.00,86.00,77.00,9.00,0.00,0.00,1761.00,1292.00,0.00,0.00,0.00,12.00,94.00,369.00,367.00,0.00,0.00,0.00,2.00,0.00,-6.00
1952:Q2,2349.00,2239.00,2140.00,1.00,0.00,98.00,110.00,97.00,13.00,0.00,0.00,2349.00,2275.00,0.00,0.00,0.00,27.00,-6.00,16.00,14.00,0.00,0.00,0.00,2.00,0.00,37.00
1952:Q3,1506.00,1583.00,1516.00,2.00,0.00,65.00,-77.00,-89.00,12.00,0.00,0.00,1506.00,1529.00,0.00,0.00,0.00,8.00,-7.00,17.00,15.00,0.00,0.00,0.00,2.00,0.00,-41.00
1952:Q4,2576.00,2372.00,2278.00,1.00,0.00,93.00,204.00,191.00,13.00,0.00,0.00,2576.00,2378.00,0.00,0.00,0.00,26.00,4.00,17.00,15.00,0.00,0.00,0.00,2.00,0.00,151.00
1953:Q1,1980.00,1930.00,1893.00,1.00,0.00,36.00,50.00,38.00,12.00,0.00,0.00,1980.00,1894.00,0.00,0.00,0.00,-6.00,30.00,17.00,16.00,0.00,0.00,0.00,1.00,0.00,45.00
