date,FA574090045.Q,FA573020043.Q,FA573030043.Q,FA573034043.Q,FA572051043.Q,FA574022045.Q,FA573069143.Q,FA573061143.Q,FA573061743.Q,FA573063043.Q,FA573065043.Q,FA573064143.Q,FA573064243.Q,FA573090045.Q,FA573095405.Q,FA573074043.Q,FA573073005.Q,FA573093043.Q,FA574190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382.00,20.00,0.00,0.00,0.00,197.00,0.00,37.00,0.00,160.00,22.00,0.00,0.00,1143.00,0.00,0.00,1179.00,-36.00,1383.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345.00,30.00,0.00,0.00,0.00,198.00,0.00,38.00,0.00,160.00,20.00,0.00,0.00,1097.00,0.00,0.00,1017.00,80.00,1344.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192.00,30.00,0.00,0.00,0.00,197.00,0.00,37.00,0.00,160.00,20.00,0.00,0.00,945.00,0.00,0.00,865.00,80.00,1192.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123.00,43.00,0.00,0.00,0.00,235.00,0.00,75.00,0.00,160.00,20.00,0.00,0.00,825.00,0.00,0.00,771.00,54.00,1123.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885.00,60.00,0.00,0.00,0.00,216.00,0.00,34.00,0.00,182.00,20.00,0.00,0.00,589.00,0.00,0.00,844.00,-255.00,886.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389.00,65.00,0.00,0.00,0.00,599.00,0.00,75.00,0.00,524.00,18.00,0.00,0.00,3707.00,0.00,0.00,3695.00,12.00,4390.00
1952:Q1,4451.00,4.00,780.00,0.00,332.00,768.00,0.00,124.00,0.00,644.00,24.00,360.00,0.00,2183.00,0.00,556.00,1371.00,256.00,4452.00
1952:Q2,4075.00,-36.00,28.00,0.00,12.00,780.00,0.00,-12.00,0.00,792.00,28.00,376.00,0.00,2887.00,0.00,24.00,2819.00,44.00,4076.00
1952:Q3,4043.00,-36.00,32.00,0.00,16.00,888.00,0.00,-44.00,0.00,932.00,32.00,392.00,0.00,2719.00,0.00,24.00,2655.00,40.00,4044.00
1952:Q4,4327.00,-8.00,32.00,0.00,12.00,1072.00,0.00,32.00,0.00,1040.00,32.00,404.00,0.00,2783.00,0.00,36.00,2723.00,24.00,4328.00
1953:Q1,4654.00,36.00,32.00,0.00,4.00,1112.00,0.00,104.00,0.00,1008.00,40.00,408.00,0.00,3022.00,0.00,28.00,2978.00,16.00,4656.00
1953:Q2,5050.00,72.00,36.00,0.00,8.00,1080.00,0.00,160.00,0.00,920.00,44.00,416.00,0.00,3394.00,0.00,32.00,3362.00,0.00,5052.00
1953:Q3,5146.00,76.00,36.00,0.00,0.00,988.00,0.00,160.00,0.00,828.00,44.00,440.00,0.00,3562.00,0.00,28.00,3534.00,0.00,5148.00
1953:Q4,4858.00,40.00,36.00,0.00,4.00,868.00,0.00,48.00,56.00,764.00,44.00,480.00,0.00,3386.00,0.00,36.00,3350.00,0.00,4860.00
