date,FL383162005.Q,FL213162005.Q,FL213162400.Q,FL213162200.Q,FL163162003.Q,FL103162000.Q,FL383162005.Q,FL153062005.Q,FL103062003.Q,FL113062003.Q,FL213062003.Q,FL763062000.Q,FL753062003.Q,FL743062003.Q,FL473062005.Q,FL513062003.Q,FL543062005.Q,FL223062043.Q,FL633062000.Q,LM653062003.Q,LM553062003.Q,LM563062003.Q,FL403062005.Q,FL663062003.Q,FL263062003.Q
1945:Q4,12130.00,12130.00,312.00,11818.00,0.00,0.00,12130.00,3869.00,252.00,0.00,1759.00,4063.00,8.00,19.00,0.00,249.00,722.00,849.00,0.00,0.00,0.00,0.00,0.00,340.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12199.00,12199.00,313.00,11886.00,0.00,0.00,12199.00,3817.00,313.00,0.00,1454.00,4458.00,14.00,17.00,0.00,237.00,614.00,935.00,0.00,0.00,0.00,0.00,0.00,340.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,13810.00,13810.00,512.00,13298.00,0.00,0.00,13810.00,4458.00,350.00,0.00,1415.00,5344.00,20.00,19.00,0.00,315.00,609.00,1037.00,0.00,0.00,0.00,0.00,0.00,243.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15144.00,15144.00,677.00,14467.00,0.00,0.00,15144.00,4629.00,452.00,0.00,1435.00,5732.00,26.00,21.00,0.00,544.00,872.00,1166.00,0.00,0.00,0.00,0.00,0.00,267.00,0.00
