date,FA263191005.Q,FA153091003.Q,FA103091003.Q,FA633091003.Q,FA903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,34.00,0.00,34.00,0.00,0.00
1952:Q1,-28.00,0.00,-28.00,0.00,0.00
1952:Q2,72.00,0.00,72.00,0.00,0.00
1952:Q3,-16.00,0.00,-16.00,0.00,0.00
1952:Q4,-92.00,0.00,-92.00,0.00,0.00
1953:Q1,108.00,0.00,108.00,0.00,0.00
1953:Q2,-112.00,0.00,-112.00,0.00,0.00
1953:Q3,44.00,0.00,44.00,0.00,0.00
1953:Q4,116.00,0.00,116.00,0.00,0.00
1954:Q1,4.00,0.00,4.00,0.00,0.00
1954:Q2,52.00,0.00,52.00,0.00,0.00
1954:Q3,88.00,0.00,88.00,0.00,0.00
1954:Q4,32.00,0.00,32.00,0.00,0.00
1955:Q1,-44.00,0.00,-44.00,0.00,0.00
1955:Q2,-80.00,0.00,-80.00,0.00,0.00
1955:Q3,-16.00,0.00,-16.00,0.00,0.00
1955:Q4,24.00,0.00,24.00,0.00,0.00
1956:Q1,-136.00,0.00,-136.00,0.00,0.00
1956:Q2,184.00,0.00,184.00,0.00,0.00
1956:Q3,-88.00,0.00,-88.00,0.00,0.00
1956:Q4,76.00,0.00,76.00,0.00,0.00
1957:Q1,240.00,0.00,240.00,0.00,0.00
1957:Q2,-88.00,0.00,-88.00,0.00,0.00
1957:Q3,-92.00,0.00,-92.00,0.00,0.00
1957:Q4,-88.00,0.00,-88.00,0.00,0.00
1958:Q1,116.00,0.00,116.00,0.00,0.00
1958:Q2,-112.00,0.00,-112.00,0.00,0.00
1958:Q3,160.00,0.00,160.00,0.00,0.00
1958:Q4,-92.00,0.00,-92.00,0.00,0.00
