date,FL263191103.Q,FL313091105.Q,FL713091103.Q,FL313131003.Q,FL313131003.Q,FL403197033.Q,FL403197033.Q,FL673090543.Q,FL673090543.Q,FL543077073.Q,FL543077073.Q,FL543195005.Q,FL543195105.Q,FL543195205.Q,FL543195373.Q,FL543195005.Q,FL513176003.Q,FL153076005.Q,FL103076005.Q,FL113076005.Q,FL593095005.Q,FL573095005.Q,FL223095505.Q,FL573074005.Q,FL573074005.Q,FL663097005.Q,FL663097005.Q,FL313195105.Q,FL313195105.Q,FL573073005.Q,FL343073005.Q,FL223073045.Q,FL573073005.Q,FL343073005.Q,FL223073045.Q
1945:Q4,402.00,402.00,0.00,3014.00,3014.00,46.00,46.00,0.00,0.00,638.00,638.00,1385.00,90.00,1295.00,0.00,1385.00,3581.00,1852.00,429.27,1299.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16879.00,21152.00,6957.00,16879.00,21152.00,6957.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,212.00,212.00,0.00,3379.00,3379.00,70.00,70.00,0.00,0.00,703.00,703.00,1601.00,110.00,1491.00,0.00,1601.00,4297.00,2074.00,689.00,1534.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18059.00,24889.00,8294.00,18059.00,24889.00,8294.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,324.00,324.00,0.00,3523.00,3523.00,98.00,98.00,0.00,0.00,784.00,784.00,1717.00,135.00,1582.00,0.00,1717.00,5121.00,2352.00,971.00,1798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19071.00,27469.00,9907.00,19071.00,27469.00,9907.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,236.00,236.00,0.00,3442.00,3442.00,133.00,133.00,0.00,0.00,835.00,835.00,1911.00,181.00,1730.00,0.00,1911.00,5860.00,2634.00,1209.00,2017.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19930.00,30203.00,11395.00,19930.00,30203.00,11395.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,409.00,409.00,0.00,3302.00,3302.00,267.00,267.00,0.00,0.00,904.00,904.00,2134.00,229.00,1905.00,0.00,2134.00,6511.00,2921.00,1402.00,2188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20697.00,33015.00,12853.00,20697.00,33015.00,12853.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,444.00,444.00,0.00,3035.00,3035.00,224.00,224.00,0.00,0.00,1007.00,1007.00,2372.00,266.00,2106.00,0.00,2372.00,7030.00,3285.00,1437.00,2308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21237.00,36532.00,14285.00,21237.00,36532.00,14285.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
