date,FU893111005.Q,FU313111303.Q,FU263111005.Q,FU313011303.Q,FU263111403.Q,FU263111503.Q,FU893011005.Q,FU313011005.Q,FU313011205.Q,FU313011303.Q,FU313011405.Q,FU313011505.Q,FU263011005.Q,FU263011205.Q,FU313111303.Q,FU713011005.Q,FU713011203.Q,FU713011405.Q,FU713011505.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248.00,0.00,-248.00,0.00,-248.00,0.00,-248.00,-89.00,159.00,0.00,-248.00,0.00,-623.00,-623.00,0.00,464.00,464.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1185.00,0.00,1185.00,0.00,1185.00,0.00,1185.00,1401.00,-63.00,0.00,1464.00,0.00,-2162.00,-2162.00,0.00,1946.00,2225.00,-279.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,356.00,0.00,356.00,0.00,356.00,0.00,356.00,399.00,41.00,0.00,358.00,0.00,-1531.00,-1531.00,0.00,1488.00,1490.00,-2.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,169.00,0.00,169.00,0.00,169.00,0.00,169.00,149.00,-19.00,0.00,168.00,0.00,-164.00,-164.00,0.00,184.00,183.00,1.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-16.00,0.00,-16.00,0.00,-16.00,0.00,-16.00,-284.00,-22.00,0.00,-262.00,0.00,1743.00,1743.00,0.00,-1475.00,-1721.00,246.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-20.00,0.00,-20.00,0.00,-20.00,0.00,-20.00,37.00,63.00,0.00,-26.00,0.00,-52.00,-52.00,0.00,-5.00,-11.00,6.00,0.00
1952:Q1,40.00,0.00,40.00,0.00,40.00,0.00,40.00,3.00,-40.00,0.00,43.00,0.00,-556.00,-556.00,0.00,593.00,596.00,-3.00,0.00
1952:Q2,-20.00,0.00,-20.00,0.00,-20.00,0.00,-20.00,29.00,50.00,0.00,-21.00,0.00,-105.00,-105.00,0.00,56.00,55.00,1.00,0.00
1952:Q3,10.00,0.00,10.00,0.00,10.00,0.00,10.00,8.00,-3.00,0.00,11.00,0.00,7.00,7.00,0.00,-5.00,-4.00,-1.00,0.00
1952:Q4,6.00,0.00,6.00,0.00,6.00,0.00,6.00,-114.00,-119.00,0.00,5.00,0.00,274.00,274.00,0.00,-154.00,-155.00,1.00,0.00
1953:Q1,-2.00,0.00,-2.00,0.00,-2.00,0.00,-2.00,21.00,21.00,0.00,0.00,0.00,603.00,603.00,0.00,-626.00,-624.00,-2.00,0.00
1953:Q2,-42.00,0.00,-42.00,0.00,-42.00,0.00,-42.00,-72.00,-28.00,0.00,-44.00,0.00,128.00,128.00,0.00,-98.00,-100.00,2.00,0.00
1953:Q3,21.00,0.00,21.00,0.00,21.00,0.00,21.00,55.00,34.00,0.00,21.00,0.00,301.00,301.00,0.00,-335.00,-335.00,0.00,0.00
1953:Q4,-72.00,0.00,-72.00,0.00,-72.00,0.00,-72.00,-90.00,-31.00,0.00,-59.00,0.00,129.00,129.00,0.00,-111.00,-98.00,-13.00,0.00
