date,FA893065505.Q,FA163165505.Q,FA103165505.Q,FA113165505.Q,FA643165583.Q,FA893065505.Q,FA153065505.Q,FA103065503.Q,FA113065503.Q,FA313065505.Q,FA213065503.Q,FA763065503.Q,FA753065503.Q,FA743065505.Q,FA513065503.Q,FA543065505.Q,FA573065505.Q,FA223065545.Q,FA413065505.Q,FA673065505.Q,FA613065503.Q,FA643065505.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1300.00,98.00,775.00,427.00,0.00,1300.00,485.00,5.00,0.00,-6.00,0.00,603.00,0.00,5.00,5.00,191.00,7.00,1.00,0.00,0.00,4.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1315.00,92.00,1130.00,93.00,0.00,1315.00,517.00,6.00,0.00,-2.00,0.00,407.00,0.00,6.00,8.00,365.00,6.00,0.00,0.00,0.00,2.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
