date,FU576330005.Q,FU575013005.Q,FU574090005.Q,FU573020005.Q,FU573030005.Q,FU573034005.Q,FU572051005.Q,FU574022005.Q,FU573069105.Q,FU573061105.Q,FU573061705.Q,FU573063005.Q,FU573065005.Q,FU573064105.Q,FU573064205.Q,FU573090005.Q,FU573095005.Q,FU573074005.Q,FU573073005.Q,FU573093005.Q,FU574190005.Q,FU574090045.Q,FU574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,1.00,1379.00,20.00,0.00,0.00,0.00,249.00,0.00,49.00,0.00,200.00,22.00,0.00,0.00,1088.00,0.00,0.00,1179.00,-91.00,1380.00,1382.00,-3.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1.00,0.00,1518.00,30.00,0.00,0.00,0.00,251.00,0.00,51.00,0.00,200.00,20.00,0.00,0.00,1217.00,0.00,0.00,1017.00,200.00,1517.00,1345.00,173.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1.00,1.00,1364.00,30.00,0.00,0.00,0.00,249.00,0.00,49.00,0.00,200.00,20.00,0.00,0.00,1065.00,0.00,0.00,865.00,200.00,1364.00,1192.00,172.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1.00,1.00,1270.00,43.00,0.00,0.00,0.00,300.00,0.00,100.00,0.00,200.00,20.00,0.00,0.00,907.00,0.00,0.00,771.00,136.00,1270.00,1123.00,147.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1.00,2.00,1001.00,60.00,0.00,0.00,0.00,273.00,0.00,45.00,0.00,228.00,20.00,0.00,0.00,648.00,0.00,0.00,844.00,-196.00,1002.00,885.00,116.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1.00,2.00,4563.00,65.00,0.00,0.00,0.00,755.00,0.00,100.00,0.00,655.00,18.00,0.00,0.00,3725.00,0.00,0.00,3695.00,30.00,4564.00,4389.00,174.00
1952:Q1,0.00,0.00,1493.00,1.00,367.00,0.00,83.00,243.00,0.00,42.00,0.00,201.00,6.00,150.00,0.00,643.00,0.00,139.00,343.00,161.00,1493.00,1113.00,380.00
1952:Q2,0.00,0.00,1152.00,-9.00,14.00,0.00,3.00,243.00,0.00,-4.00,0.00,247.00,7.00,156.00,0.00,738.00,0.00,6.00,705.00,27.00,1152.00,1019.00,133.00
1952:Q3,0.00,0.00,1152.00,-9.00,15.00,0.00,4.00,277.00,0.00,-15.00,0.00,292.00,8.00,162.00,0.00,695.00,0.00,6.00,664.00,25.00,1152.00,1011.00,141.00
1952:Q4,0.00,0.00,1240.00,-2.00,15.00,0.00,3.00,336.00,0.00,11.00,0.00,325.00,8.00,175.00,0.00,705.00,0.00,9.00,681.00,15.00,1240.00,1082.00,158.00
1953:Q1,0.00,1.00,1325.00,9.00,16.00,0.00,1.00,348.00,0.00,34.00,0.00,314.00,10.00,179.00,0.00,762.00,0.00,7.00,745.00,10.00,1325.00,1164.00,161.00
1953:Q2,0.00,1.00,1425.00,18.00,17.00,0.00,2.00,342.00,0.00,54.00,0.00,288.00,11.00,186.00,0.00,849.00,0.00,8.00,841.00,0.00,1425.00,1263.00,162.00
1953:Q3,0.00,1.00,1448.00,19.00,17.00,0.00,0.00,312.00,0.00,53.00,0.00,259.00,11.00,197.00,0.00,892.00,0.00,7.00,884.00,1.00,1448.00,1287.00,161.00
1953:Q4,0.00,1.00,1374.00,10.00,17.00,0.00,1.00,272.00,0.00,16.00,18.00,238.00,11.00,216.00,0.00,847.00,0.00,9.00,838.00,0.00,1374.00,1215.00,159.00
