date,FL144090005.Q,FL103091003.Q,FL143020005.Q,FL143030005.Q,FL143034005.Q,FL102051003.Q,FL144022005.Q,FL103069100.Q,FL143061105.Q,FL103061703.Q,FL143062005.Q,FL144023005.Q,FL143065005.Q,FL143066005.Q,LM103064203.Q,FL143070005.Q,FL103092005.Q,FL143090005.Q,FL144190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163003.Q,FL144123005.Q,FL143168005.Q,FL143169005.Q,FL143165005.Q,FL143170005.Q,FL143178005.Q,FL143192005.Q,FL143190005.Q
1945:Q4,92533.00,33.00,36100.00,900.00,0.00,0.00,18760.00,0.00,18508.00,0.00,252.00,3378.00,5.00,3373.00,0.00,24369.00,6990.00,2003.00,85244.90,24000.00,95.00,0.00,23905.00,31940.00,10253.00,4856.00,16831.00,17276.00,10105.00,1548.00,375.90
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,92836.00,68.00,37259.00,900.00,0.00,0.00,13124.00,32.00,12779.00,0.00,313.00,4000.00,10.00,3990.00,0.00,28132.00,6971.00,2382.00,99460.00,24995.00,137.00,0.00,24858.00,38913.00,14736.00,5659.00,18518.00,25125.00,8147.00,1536.00,744.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,102403.00,51.00,39364.00,900.00,0.00,0.00,12770.00,129.00,12291.00,0.00,350.00,4916.00,16.00,4900.00,0.00,33418.00,8088.00,2896.00,115097.00,27843.00,172.00,0.00,27671.00,44718.00,18456.00,5837.00,20425.00,29505.00,10333.00,1627.00,1071.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
