date,FU153166000.Q,FU153166000.Q,FU163066223.Q,FU103066005.Q,FU113066003.Q,FU313066220.Q,FU763066000.Q,FU473066000.Q,FU403066005.Q,FU673066000.Q,FU613066005.Q,FU153166100.Q,FU153166400.Q,FU153166220.Q,FU153166205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2977.00,2977.00,0.00,527.00,90.00,0.00,1763.00,13.00,0.00,0.00,584.00,0.00,525.00,0.00,2452.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3521.00,3521.00,0.00,798.00,112.00,0.00,1725.00,21.00,0.00,0.00,865.00,0.00,929.00,0.00,2592.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3034.00,3034.00,0.00,786.00,121.00,0.00,1252.00,28.00,0.00,0.00,847.00,0.00,1068.00,0.00,1966.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3042.00,3042.00,0.00,572.00,64.00,0.00,1226.00,81.00,0.00,0.00,1099.00,0.00,1513.00,0.00,1529.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4573.00,4573.00,0.00,1114.00,181.00,0.00,2173.00,95.00,0.00,0.00,1010.00,0.00,1537.00,0.00,3036.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1403.00,1403.00,0.00,624.00,109.00,0.00,331.00,53.00,0.00,0.00,286.00,0.00,-57.00,0.00,1460.00
1952:Q1,-753.00,-753.00,0.00,-1626.00,842.00,0.00,53.00,71.00,0.00,0.00,-93.00,0.00,-154.00,0.00,-599.00
1952:Q2,2281.00,2281.00,0.00,555.00,186.00,0.00,890.00,41.00,0.00,0.00,609.00,0.00,812.00,0.00,1469.00
1952:Q3,1087.00,1087.00,0.00,103.00,65.00,0.00,450.00,116.00,0.00,0.00,353.00,0.00,374.00,0.00,713.00
1952:Q4,2557.00,2557.00,0.00,804.00,321.00,0.00,821.00,24.00,0.00,0.00,587.00,0.00,645.00,0.00,1912.00
1953:Q1,379.00,379.00,0.00,-671.00,-221.00,0.00,826.00,61.00,0.00,0.00,384.00,0.00,649.00,0.00,-270.00
1953:Q2,1771.00,1771.00,0.00,365.00,111.00,0.00,692.00,71.00,0.00,0.00,532.00,0.00,823.00,0.00,948.00
1953:Q3,682.00,682.00,0.00,-80.00,-8.00,0.00,207.00,131.00,0.00,0.00,432.00,0.00,521.00,0.00,161.00
1953:Q4,1260.00,1260.00,0.00,644.00,246.00,0.00,96.00,55.00,0.00,0.00,219.00,0.00,57.00,0.00,1203.00
1954:Q1,-1870.00,-1870.00,0.00,-888.00,-309.00,0.00,-438.00,49.00,0.00,0.00,-284.00,0.00,-396.00,0.00,-1474.00
1954:Q2,1262.00,1262.00,0.00,409.00,73.00,0.00,593.00,-7.00,0.00,0.00,194.00,0.00,222.00,0.00,1040.00
1954:Q3,236.00,236.00,0.00,-72.00,-50.00,0.00,-15.00,114.00,0.00,0.00,259.00,0.00,188.00,0.00,48.00
1954:Q4,1721.00,1721.00,0.00,896.00,287.00,0.00,218.00,50.00,0.00,0.00,270.00,0.00,48.00,0.00,1673.00
1955:Q1,-261.00,-261.00,0.00,-856.00,-298.00,0.00,529.00,-47.00,0.00,0.00,411.00,0.00,607.00,0.00,-868.00
1955:Q2,3053.00,3053.00,0.00,560.00,118.00,0.00,1300.00,86.00,0.00,0.00,989.00,0.00,1380.00,0.00,1673.00
