date,FA156010001.Q,FA156210005.Q,FA156012005.Q,FA156900005.Q,FA156007015.Q,FA313154015.Q,FA156600075.Q,FA155111005.Q,FA156300005.Q,FA155440005.Q,FA156000105.Q,FA155090005.Q,FA155050005.Q,FA155111003.Q,FA155012005.Q,FA165013005.Q,FA155420003.Q,FA155000005.Q,FA154090005.Q,FA153091003.Q,FA153020005.Q,FA153030005.Q,FA153034005.Q,FA154022005.Q,FA163069103.Q,FA153061105.Q,FA153061705.Q,FA153062005.Q,FA153063005.Q,FA154023005.Q,FA153069005.Q,FA153065005.Q,FA163066223.Q,FA153064105.Q,FA153064205.Q,FA153040005.Q,FA153050005.Q,FA152090205.Q,FA153090005.Q,FA154190005.Q,FA163162003.Q,FA154123005.Q,FA153165105.Q,FA153166000.Q,FA153168005.Q,FA153169005.Q,FA163165505.Q,FA163170003.Q,FA543077073.Q,FA157005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,182668.00,17210.00,165458.00,145883.00,19575.00,1320.00,0.00,5135.00,12997.00,878.00,38149.00,40146.00,23253.00,15862.00,6794.00,597.00,0.00,16893.00,23750.00,0.00,5198.00,6338.00,0.00,-2269.00,85.00,-1390.00,32.00,-52.00,-944.00,1561.00,39.00,1522.00,0.00,1008.00,185.00,3800.00,6555.00,571.00,803.00,6857.00,0.00,6625.00,4394.00,2977.00,-116.00,-728.00,98.00,167.00,65.00,-1997.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,194616.00,19790.00,174826.00,163804.00,11022.00,1116.00,0.00,7784.00,15600.00,996.00,34526.00,38626.00,31588.00,20447.00,10394.00,747.00,0.00,7038.00,16065.00,0.00,-120.00,3479.00,0.00,-156.00,18.00,-62.00,55.00,641.00,-808.00,1286.00,-73.00,1359.00,0.00,1079.00,163.00,3150.00,6558.00,88.00,538.00,9027.00,0.00,8846.00,5167.00,3521.00,-18.00,84.00,92.00,100.00,81.00,-4100.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
