date,FL893065505.Q,FL163165505.Q,FL103165505.Q,FL113165505.Q,FL643165583.Q,FL893065505.Q,FL153065505.Q,FL103065503.Q,FL113065503.Q,FL313065505.Q,FL213065503.Q,FL763065503.Q,FL753065503.Q,FL743065505.Q,FL513065503.Q,FL543065505.Q,FL573065505.Q,FL223065545.Q,FL413065505.Q,FL673065505.Q,FL613065503.Q,FL643065505.Q
1945:Q4,7465.00,316.00,8196.90,-1047.90,0.00,7465.00,3450.00,5.00,0.00,15.00,0.00,1776.00,0.00,5.00,56.00,2154.00,0.00,2.00,0.00,0.00,2.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8765.00,414.00,8972.00,-621.00,0.00,8765.00,3935.00,10.00,0.00,9.00,0.00,2379.00,0.00,10.00,61.00,2345.00,7.00,3.00,0.00,0.00,6.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10080.00,506.00,10102.00,-528.00,0.00,10080.00,4452.00,16.00,0.00,7.00,0.00,2786.00,0.00,16.00,69.00,2710.00,13.00,3.00,0.00,0.00,8.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,11196.00,721.00,11094.00,-619.00,0.00,11196.00,4757.00,30.00,0.00,7.00,0.00,3211.00,0.00,30.00,76.00,3054.00,18.00,5.00,0.00,0.00,8.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,11865.00,966.00,11676.00,-777.00,0.00,11865.00,4881.00,24.00,0.00,0.00,0.00,3423.00,0.00,24.00,93.00,3379.00,24.00,7.00,0.00,0.00,10.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12486.00,1266.00,12045.00,-825.00,0.00,12486.00,4881.00,23.00,0.00,5.00,0.00,3717.00,0.00,23.00,104.00,3682.00,28.00,9.00,0.00,0.00,14.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13488.00,1569.00,12562.00,-643.00,0.00,13488.00,4991.00,26.00,0.00,5.00,0.00,4121.00,0.00,26.00,118.00,4146.00,32.00,12.00,0.00,0.00,11.00,0.00
1952:Q1,13713.00,1619.00,12701.00,-607.00,0.00,13713.00,5036.00,27.00,0.00,5.00,0.00,4181.00,0.00,27.00,120.00,4256.00,34.00,13.00,0.00,0.00,14.00,0.00
1952:Q2,13927.00,1695.00,12556.00,-324.00,0.00,13927.00,5076.00,28.00,0.00,5.00,0.00,4268.00,0.00,28.00,121.00,4337.00,36.00,13.00,0.00,0.00,15.00,0.00
1952:Q3,14161.00,1771.00,12531.00,-141.00,0.00,14161.00,5125.00,29.00,0.00,5.00,0.00,4361.00,0.00,29.00,122.00,4422.00,37.00,14.00,0.00,0.00,17.00,0.00
