date,FA893111005.Q,FA313111303.Q,FA263111005.Q,FA313011303.Q,FA263111403.Q,FA263111503.Q,FA893011005.Q,FA313011005.Q,FA313011205.Q,FA313011303.Q,FA313011405.Q,FA313011505.Q,FA263011005.Q,FA263011205.Q,FA313111303.Q,FA713011005.Q,FA713011203.Q,FA713011405.Q,FA713011505.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-248.00,0.00,-248.00,0.00,-248.00,0.00,-248.00,-89.00,159.00,0.00,-248.00,0.00,-623.00,-623.00,0.00,464.00,464.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1185.00,0.00,1185.00,0.00,1185.00,0.00,1185.00,1401.00,-63.00,0.00,1464.00,0.00,-2162.00,-2162.00,0.00,1946.00,2225.00,-279.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,356.00,0.00,356.00,0.00,356.00,0.00,356.00,399.00,41.00,0.00,358.00,0.00,-1531.00,-1531.00,0.00,1488.00,1490.00,-2.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,169.00,0.00,169.00,0.00,169.00,0.00,169.00,149.00,-19.00,0.00,168.00,0.00,-164.00,-164.00,0.00,184.00,183.00,1.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-16.00,0.00,-16.00,0.00,-16.00,0.00,-16.00,-284.00,-22.00,0.00,-262.00,0.00,1743.00,1743.00,0.00,-1475.00,-1721.00,246.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-20.00,0.00,-20.00,0.00,-20.00,0.00,-20.00,37.00,63.00,0.00,-26.00,0.00,-52.00,-52.00,0.00,-5.00,-11.00,6.00,0.00
1952:Q1,160.00,0.00,160.00,0.00,160.00,0.00,160.00,12.00,-160.00,0.00,172.00,0.00,-2224.00,-2224.00,0.00,2372.00,2384.00,-12.00,0.00
1952:Q2,-80.00,0.00,-80.00,0.00,-80.00,0.00,-80.00,116.00,200.00,0.00,-84.00,0.00,-420.00,-420.00,0.00,224.00,220.00,4.00,0.00
1952:Q3,40.00,0.00,40.00,0.00,40.00,0.00,40.00,32.00,-12.00,0.00,44.00,0.00,28.00,28.00,0.00,-20.00,-16.00,-4.00,0.00
1952:Q4,24.00,0.00,24.00,0.00,24.00,0.00,24.00,-456.00,-476.00,0.00,20.00,0.00,1096.00,1096.00,0.00,-616.00,-620.00,4.00,0.00
1953:Q1,-8.00,0.00,-8.00,0.00,-8.00,0.00,-8.00,84.00,84.00,0.00,0.00,0.00,2412.00,2412.00,0.00,-2504.00,-2496.00,-8.00,0.00
1953:Q2,-168.00,0.00,-168.00,0.00,-168.00,0.00,-168.00,-288.00,-112.00,0.00,-176.00,0.00,512.00,512.00,0.00,-392.00,-400.00,8.00,0.00
1953:Q3,84.00,0.00,84.00,0.00,84.00,0.00,84.00,220.00,136.00,0.00,84.00,0.00,1204.00,1204.00,0.00,-1340.00,-1340.00,0.00,0.00
1953:Q4,-288.00,0.00,-288.00,0.00,-288.00,0.00,-288.00,-360.00,-124.00,0.00,-236.00,0.00,516.00,516.00,0.00,-444.00,-392.00,-52.00,0.00
