date,FL112000005.Q,FL112010005.Q,LM115035005.Q,LM115035023.Q,LM115035035.Q,FL115015205.Q,FL115012265.Q,FL115013265.Q,FL115013765.Q,FL115020005.Q,FL114090005.Q,FL113020005.Q,FL113030003.Q,FL113034003.Q,FL114022005.Q,FL113061003.Q,FL113062003.Q,FL114023005.Q,FL113065005.Q,FL113066003.Q,FL113070003.Q,FL113090005.Q,FL113076005.Q,FL113092405.Q,FL113093005.Q,FL114190005.Q,FL114123005.Q,FL113168005.Q,FL113169005.Q,FL113165005.Q,FL113170005.Q,FL113178003.Q,FL115114005.Q,FL113193003.Q,FL112090205.Q,FL115012665.Q,FL115013665.Q,FL114104006.Q
1945:Q4,212284.98,188688.42,151675.65,75172.00,76503.65,10964.00,433.00,10531.00,1942.00,24106.77,23596.56,16988.53,0.00,0.00,0.00,0.00,0.00,579.00,0.00,579.00,4548.00,1481.03,1299.73,181.30,0.00,14900.05,11287.33,1340.68,1656.53,8290.12,3557.72,0.00,55.00,0.00,197384.93,62232.00,20176.00,5.72
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,253312.00,227820.00,179671.00,88685.00,90986.00,13075.00,572.00,12503.00,2162.00,32912.00,25492.00,17593.00,0.00,0.00,0.00,0.00,0.00,669.00,0.00,669.00,5553.00,1677.00,1534.00,143.00,0.00,19129.00,14019.00,2231.00,2605.00,9183.00,5056.00,0.00,55.00,0.00,234183.00,74740.00,26315.00,5.99
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,289295.00,262959.00,206256.00,100916.00,105340.00,17091.00,778.00,16313.00,2507.00,37106.00,26336.00,17770.00,0.00,0.00,0.00,0.00,0.00,781.00,0.00,781.00,5864.00,1921.00,1798.00,124.00,0.00,21915.00,15781.00,2882.00,2968.00,9930.00,6078.00,0.00,56.00,0.00,267381.00,85232.00,31856.00,5.90
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,307500.00,281245.00,218473.00,106021.00,112452.00,21749.00,957.00,20792.00,2667.00,38356.00,26255.00,17276.00,0.00,0.00,0.00,0.00,0.00,902.00,0.00,902.00,5934.00,2142.00,2017.00,126.00,0.00,24421.00,17157.00,2972.00,3295.00,10890.00,7203.00,0.00,61.00,0.00,283078.00,88816.00,33433.00,6.06
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,310885.00,284459.00,223629.00,109176.00,114453.00,23749.00,1001.00,22748.00,2777.00,34305.00,26426.00,17148.00,0.00,0.00,0.00,0.00,0.00,966.00,0.00,966.00,5995.00,2317.00,2188.00,129.00,0.00,26064.00,18539.00,2840.00,3572.00,12126.00,7463.00,0.00,62.00,0.00,284821.00,90804.00,32580.00,6.51
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,332154.00,304100.00,236563.00,117977.00,118586.00,28421.00,1240.00,27181.00,3009.00,36106.00,28054.00,17377.00,0.00,0.00,0.00,0.00,0.00,1147.00,0.00,1147.00,7091.00,2439.00,2308.00,132.00,0.00,30438.00,21645.00,3751.00,3936.00,13958.00,8721.00,0.00,72.00,0.00,301716.00,98206.00,37102.00,7.17
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,362570.00,333810.00,255779.00,124494.00,131285.00,31387.00,1370.00,30017.00,3103.00,43541.00,28761.00,17883.00,0.00,0.00,0.00,0.00,0.00,1256.00,0.00,1256.00,6974.00,2648.00,2512.00,137.00,0.00,34061.00,24938.00,4565.00,4390.00,15983.00,9045.00,0.00,78.00,0.00,328509.00,103363.00,40604.00,7.59
1952:Q1,366620.00,336211.00,257821.00,125489.00,132332.00,31641.00,1396.00,30245.00,3158.00,43591.00,30409.00,17895.00,0.00,0.00,0.00,0.00,0.00,2098.00,0.00,2098.00,7702.00,2714.00,2576.00,137.00,0.00,35237.00,25464.00,4605.00,4517.00,16342.00,9695.00,0.00,79.00,0.00,331382.00,103949.00,41244.00,7.68
1952:Q2,368503.00,338155.00,259926.00,127086.00,132840.00,31911.00,1423.00,30488.00,3202.00,43116.00,30347.00,17736.00,0.00,0.00,0.00,0.00,0.00,2284.00,0.00,2284.00,7539.00,2789.00,2649.00,139.00,0.00,36462.00,26603.00,4938.00,4635.00,17030.00,9780.00,0.00,80.00,0.00,332041.00,104944.00,41401.00,8.01
1952:Q3,370096.00,339403.00,262032.00,128807.00,133225.00,32444.00,1441.00,31003.00,3242.00,41685.00,30693.00,17534.00,0.00,0.00,0.00,0.00,0.00,2349.00,0.00,2349.00,7945.00,2865.00,2725.00,140.00,0.00,37217.00,27164.00,4965.00,4650.00,17549.00,9972.00,0.00,81.00,0.00,332879.00,106033.00,41625.00,8.16
1952:Q4,367811.00,336954.00,262603.00,128499.00,134104.00,32718.00,1462.00,31256.00,3221.00,38412.00,30857.00,17413.00,0.00,0.00,0.00,0.00,0.00,2670.00,0.00,2670.00,7838.00,2936.00,2795.00,141.00,0.00,37149.00,27439.00,4944.00,4681.00,17814.00,9626.00,0.00,84.00,0.00,330662.00,105484.00,42004.00,8.30
1953:Q1,367505.00,335833.00,262881.00,129157.00,133724.00,33004.00,1490.00,31514.00,3298.00,36650.00,31672.00,17329.00,0.00,0.00,0.00,0.00,0.00,2449.00,0.00,2449.00,8891.00,3004.00,2860.00,143.00,0.00,38476.00,27602.00,4825.00,4802.00,17974.00,10789.00,0.00,85.00,0.00,329029.00,105619.00,41887.00,8.39
