date,FA893178005.Q,FA103178000.Q,FA113178003.Q,FA763178003.Q,FA513178003.Q,FA543178073.Q,FA613178003.Q,FA663178003.Q,FA893078005.Q,FA313078005.Q,FA213078005.Q,FA903078005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-1944.00,-1958.00,0.00,16.00,-10.00,-4.00,9.00,3.00,5813.00,5813.00,0.00,-7757.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2077.00,2186.00,0.00,-110.00,10.00,-20.00,18.00,-7.00,9594.00,9594.00,0.00,-7517.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,922.00,775.00,0.00,48.00,73.00,0.00,27.00,-1.00,8248.00,8248.00,0.00,-7326.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-2089.00,-2302.00,0.00,44.00,100.00,45.00,21.00,3.00,5241.00,5241.00,0.00,-7330.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7415.00,7255.00,0.00,117.00,-55.00,29.00,65.00,4.00,15601.00,15601.00,0.00,-8186.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4706.00,4476.00,0.00,162.00,-34.00,57.00,47.00,-2.00,13701.00,13701.00,0.00,-8995.00
1952:Q1,1348.00,384.00,0.00,424.00,256.00,128.00,140.00,16.00,4713.00,4701.00,12.00,-3365.00
1952:Q2,-2884.00,-2552.00,0.00,-120.00,-64.00,-68.00,-88.00,8.00,2533.00,2581.00,-48.00,-5417.00
1952:Q3,-5112.00,-5772.00,0.00,448.00,52.00,44.00,112.00,4.00,7833.00,7837.00,-4.00,-12945.00
1952:Q4,-4620.00,-4684.00,0.00,4.00,116.00,-40.00,-28.00,12.00,8777.00,8697.00,80.00,-13397.00
1953:Q1,1292.00,1924.00,0.00,-324.00,-116.00,-40.00,-128.00,-24.00,10285.00,10293.00,-8.00,-8993.00
1953:Q2,2764.00,3220.00,0.00,-344.00,24.00,-56.00,-64.00,-16.00,12425.00,12421.00,4.00,-9661.00
1953:Q3,1436.00,472.00,0.00,440.00,212.00,140.00,168.00,4.00,12153.00,12177.00,-24.00,-10717.00
1953:Q4,-1196.00,-3196.00,0.00,932.00,428.00,284.00,316.00,40.00,7629.00,7813.00,-184.00,-8825.00
1954:Q1,-7792.00,-6844.00,0.00,-504.00,-128.00,-184.00,-100.00,-32.00,3835.00,3775.00,60.00,-11627.00
1954:Q2,-6880.00,-5412.00,0.00,-632.00,-336.00,-180.00,-356.00,36.00,5467.00,5447.00,20.00,-12347.00
1954:Q3,108.00,-1016.00,0.00,764.00,108.00,112.00,112.00,28.00,6455.00,6407.00,48.00,-6347.00
1954:Q4,612.00,396.00,0.00,256.00,-80.00,60.00,8.00,-28.00,8295.00,8239.00,56.00,-7683.00
1955:Q1,-388.00,692.00,0.00,-840.00,-104.00,24.00,-148.00,-12.00,14387.00,14295.00,92.00,-14775.00
1955:Q2,1768.00,3088.00,0.00,-820.00,-244.00,-132.00,-108.00,-16.00,15915.00,15903.00,12.00,-14147.00
1955:Q3,5304.00,4560.00,0.00,196.00,92.00,168.00,268.00,20.00,9895.00,9863.00,32.00,-4591.00
1955:Q4,6472.00,6312.00,0.00,-36.00,-68.00,96.00,144.00,24.00,9823.00,9795.00,28.00,-3351.00
1956:Q1,-5648.00,-5284.00,0.00,-168.00,8.00,-72.00,-96.00,-36.00,7945.00,7909.00,36.00,-13593.00
1956:Q2,-6128.00,-5192.00,0.00,-252.00,-236.00,-200.00,-232.00,-16.00,11849.00,11825.00,24.00,-17977.00
1956:Q3,1684.00,304.00,0.00,972.00,-192.00,360.00,224.00,16.00,5913.00,5973.00,-60.00,-4229.00
1956:Q4,4156.00,3468.00,0.00,668.00,-168.00,72.00,112.00,4.00,7937.00,7889.00,48.00,-3781.00
1957:Q1,-3196.00,-2796.00,0.00,-316.00,28.00,-4.00,-112.00,4.00,9028.00,8996.00,32.00,-12224.00
1957:Q2,-3624.00,-2860.00,0.00,-432.00,132.00,-304.00,-148.00,-12.00,10156.00,10204.00,-48.00,-13780.00
1957:Q3,-40.00,-1036.00,0.00,552.00,96.00,156.00,180.00,12.00,8576.00,8596.00,-20.00,-8616.00
1957:Q4,-940.00,-1840.00,0.00,520.00,76.00,160.00,120.00,24.00,7112.00,7204.00,-92.00,-8052.00
1958:Q1,-5488.00,-5996.00,0.00,244.00,-344.00,492.00,128.00,-12.00,4077.00,4117.00,-40.00,-9565.00
1958:Q2,-5920.00,-4640.00,0.00,-784.00,232.00,-348.00,-388.00,8.00,6541.00,6521.00,20.00,-12461.00
1958:Q3,-200.00,-784.00,0.00,300.00,128.00,140.00,-8.00,24.00,9625.00,9509.00,116.00,-9825.00
1958:Q4,1480.00,1040.00,0.00,140.00,244.00,52.00,-8.00,12.00,11709.00,11549.00,160.00,-10229.00
1959:Q1,3664.00,4280.00,0.00,-484.00,-248.00,128.00,-32.00,20.00,2547.00,2571.00,-24.00,1117.00
1959:Q2,6696.00,7936.00,0.00,-968.00,-24.00,-164.00,-72.00,-12.00,6150.00,6078.00,72.00,546.00
1959:Q3,-1556.00,-2100.00,0.00,-172.00,116.00,316.00,240.00,44.00,-86.00,86.00,-172.00,-1470.00
1959:Q4,-1552.00,-1620.00,0.00,-212.00,72.00,64.00,128.00,16.00,-222.00,-210.00,-12.00,-1330.00
1960:Q1,-472.00,-468.00,0.00,480.00,-108.00,-232.00,-88.00,-56.00,-753.00,-1033.00,280.00,281.00
1960:Q2,28.00,-380.00,0.00,708.00,-28.00,-156.00,-104.00,-12.00,-1725.00,-1589.00,-136.00,1753.00
1960:Q3,-2288.00,-4128.00,0.00,1460.00,52.00,184.00,120.00,24.00,-1551.00,-1455.00,-96.00,-737.00
1960:Q4,280.00,-1384.00,0.00,1348.00,60.00,140.00,80.00,36.00,-1859.00,-1807.00,-52.00,2139.00
1961:Q1,-2512.00,-2264.00,0.00,-372.00,-24.00,24.00,48.00,76.00,-2757.00,-2817.00,60.00,245.00
1961:Q2,-1184.00,1108.00,0.00,-1648.00,-112.00,-268.00,-240.00,-24.00,228.00,184.00,44.00,-1412.00
1961:Q3,604.00,1124.00,0.00,-724.00,16.00,88.00,60.00,40.00,1766.00,1646.00,120.00,-1162.00
1961:Q4,1688.00,2516.00,0.00,-824.00,-12.00,28.00,12.00,-32.00,2896.00,2760.00,136.00,-1208.00
1962:Q1,3716.00,2452.00,0.00,524.00,96.00,436.00,196.00,12.00,216.00,128.00,88.00,3500.00
1962:Q2,2020.00,2412.00,0.00,132.00,-64.00,-264.00,-84.00,-112.00,910.00,938.00,-28.00,1110.00
1962:Q3,3000.00,1780.00,0.00,932.00,32.00,168.00,108.00,-20.00,340.00,320.00,20.00,2660.00
1962:Q4,-2192.00,-2320.00,0.00,396.00,-32.00,-124.00,-92.00,-20.00,635.00,607.00,28.00,-2827.00
